Country name,2019,2020,2021,2022,2023,2024
Togo,0.304,0.289,0.292,0.367,0.453,0.292
Tunisia,0.236,0.334,0.316,0.259,0.254,0.872
Turkey,0.254,0.236,0.209,0.125,0.202,0.54
Uganda,0.402,0.398,0.402,0.425,0.587,0.696
Ukraine,0.319,0.417,0.473,0.551,0.631,0.92
United Arab Emirates,0.653,0.67,0.702,0.745,0.815,0.593
United Kingdom,0.525,0.58,0.597,0.626,0.713,0.858
United States of America,0.535,0.554,0.574,0.557,0.586,0.26
Uruguay,0.594,0.625,0.665,0.683,0.775,0.697
Uzbekistan,0.693,0.716,0.716,0.74,0.835,0.598
Venezuela,0.272,0.284,0.283,0.369,0.518,0.677
Vietnam,0.651,0.679,0.707,0.741,0.843,0.279
Zambia,0.491,0.487,0.525,0.545,0.727,0.613
Zimbabwe,0.377,0.359,0.329,0.363,0.487,0.0
