Year,Rank,Country name,Ladder score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
2019,56,Honduras,"5,953","6,082","5,824","0,599","1,187","0,792","0,568","0,257","0,087","2,464"
2019,78,Hong Kong,"5,510","5,601","5,420","1,377","1,244","1,137","0,459","0,288","0,332","0,673"
2019,53,Hungary,"6,000","6,078","5,923","1,164","1,423","0,807","0,386","0,070","0,028","2,122"
2019,4,Iceland,"7,504","7,621","7,388","1,327","1,548","1,001","0,662","0,362","0,145","2,461"
2019,144,India,"3,573","3,628","3,519","0,731","0,644","0,541","0,581","0,237","0,106","0,734"
2019,84,Indonesia,"5,286","5,379","5,192","0,892","1,155","0,610","0,568","0,543","0,038","1,480"
2019,118,Iran,"4,672","4,782","4,563","1,029","0,886","0,749","0,301","0,277","0,143","1,287"
2019,110,Iraq,"4,785","4,937","4,632","0,982","1,011","0,529","0,284","0,153","0,073","1,752"
2019,16,Ireland,"7,094","7,172","7,016","1,447","1,471","0,976","0,588","0,295","0,373","1,944"
2019,14,Israel,"7,129","7,212","7,045","1,216","1,403","1,008","0,421","0,267","0,100","2,713"
2019,30,Italy,"6,387","6,472","6,303","1,236","1,347","1,023","0,321","0,170","0,040","2,250"
2019,60,Jamaica,"5,890","6,126","5,653","0,779","1,408","0,788","0,553","0,116","0,030","2,214"
2019,62,Japan,"5,871","5,952","5,790","1,267","1,332","1,073","0,495","0,036","0,181","1,486"
2019,119,Jordan,"4,633","4,749","4,518","0,785","1,140","0,778","0,425","0,091","0,152","1,262"
2019,50,Kazakhstan,"6,058","6,143","5,973","1,123","1,453","0,699","0,497","0,154","0,110","2,022"
2019,121,Kenya,"4,583","4,716","4,450","0,476","0,905","0,536","0,519","0,394","0,067","1,685"
2019,35,Kosovo,"6,325","6,428","6,223","0,840","1,184","0,673","0,557","0,325","0,009","2,737"
2019,74,Kyrgyzstan,"5,542","5,627","5,456","0,513","1,341","0,681","0,615","0,301","0,030","2,060"
2019,104,Laos,"4,889","4,968","4,810","0,715","0,987","0,486","0,612","0,273","0,194","1,621"
2019,57,Latvia,"5,950","6,018","5,882","1,141","1,414","0,778","0,329","0,075","0,090","2,121"
2019,111,Lebanon,"4,772","4,857","4,686","0,889","1,192","0,789","0,186","0,159","0,022","1,536"
2019,124,Liberia,"4,558","4,719","4,397","0,174","0,921","0,392","0,406","0,227","0,051","2,387"
2019,41,Lithuania,"6,215","6,302","6,129","1,194","1,433","0,795","0,420","0,054","0,081","2,238"
2019,10,Luxembourg,"7,238","7,298","7,177","1,537","1,388","0,986","0,610","0,196","0,367","2,154"
2019,90,North Macedonia,"5,160","5,251","5,068","0,935","1,183","0,803","0,410","0,186","0,025","1,618"
2019,137,Madagascar,"4,166","4,278","4,053","0,245","0,824","0,501","0,193","0,191","0,076","2,136"
2019,145,Malawi,"3,538","3,676","3,400","0,177","0,530","0,446","0,487","0,213","0,132","1,553"
2019,82,Malaysia,"5,384","5,480","5,289","1,168","1,174","0,789","0,597","0,275","0,062","1,319"
2019,114,Mali,"4,729","4,855","4,603","0,352","0,973","0,235","0,378","0,170","0,062","2,559"
2019,22,Malta,"6,773","6,857","6,689","1,253","1,443","0,972","0,633","0,341","0,179","1,952"
2019,129,Mauritania,"4,375","4,483","4,267","0,540","1,113","0,425","0,186","0,129","0,122","1,860"
2019,49,Mauritius,"6,101","6,213","5,989","1,074","1,396","0,763","0,591","0,187","0,084","2,007"
2019,24,Mexico,"6,465","6,559","6,371","1,024","1,226","0,832","0,554","0,083","0,083","2,663"
2019,81,Mongolia,"5,456","5,535","5,377","0,905","1,459","0,616","0,356","0,264","0,047","1,811"
2019,72,Montenegro,"5,546","5,642","5,450","1,010","1,266","0,839","0,303","0,149","0,098","1,881"
2019,97,Morocco,"5,095","5,204","4,986","0,759","0,645","0,745","0,450","0,040","0,077","2,378"
2019,120,Mozambique,"4,624","4,779","4,468","0,179","0,955","0,324","0,561","0,220","0,163","2,221"
2019,133,Myanmar,"4,308","4,392","4,224","0,678","1,098","0,495","0,597","0,570","0,188","0,681"
2019,122,Namibia,"4,571","4,691","4,452","0,840","1,246","0,407","0,445","0,076","0,054","1,503"
2019,92,Nepal,"5,137","5,250","5,024","0,444","1,101","0,669","0,481","0,301","0,128","2,014"
2019,6,Netherlands,"7,449","7,503","7,394","1,339","1,464","0,976","0,614","0,336","0,369","2,352"
2019,8,New Zealand,"7,300","7,377","7,222","1,242","1,487","1,008","0,647","0,326","0,461","2,128"
2019,46,Nicaragua,"6,137","6,262","6,012","0,620","1,271","0,803","0,560","0,213","0,174","2,496"
2019,103,Niger,"4,910","5,061","4,758","0,108","0,704","0,299","0,435","0,208","0,138","3,018"
2019,115,Nigeria,"4,724","4,826","4,622","0,646","0,987","0,168","0,435","0,221","0,048","2,220"
2019,5,Norway,"7,488","7,556","7,420","1,424","1,495","1,008","0,670","0,288","0,434","2,168"
2019,66,Pakistan,"5,693","5,788","5,599","0,617","0,873","0,470","0,405","0,229","0,123","2,977"
2019,36,Panama,"6,305","6,422","6,188","1,098","1,376","0,879","0,580","0,097","0,054","2,221"
2019,67,Paraguay,"5,692","5,794","5,590","0,898","1,368","0,736","0,587","0,204","0,065","1,834"
2019,63,Peru,"5,797","5,917","5,677","0,919","1,208","0,824","0,513","0,092","0,027","2,213"
2019,52,Philippines,"6,006","6,104","5,908","0,775","1,245","0,602","0,622","0,129","0,130","2,502"
2019,43,Poland,"6,186","6,256","6,117","1,169","1,310","0,868","0,558","0,063","0,161","2,057"
2019,59,Portugal,"5,911","6,015","5,807","1,169","1,340","0,979","0,590","0,053","0,028","1,753"
2019,61,South Korea,"5,872","5,959","5,786","1,245","1,134","1,023","0,259","0,170","0,095","1,947"
2019,70,Moldova,"5,608","5,690","5,525","0,708","1,237","0,713","0,390","0,174","0,014","2,371"
2019,47,Romania,"6,124","6,217","6,031","1,120","1,194","0,792","0,535","0,068","0,001","2,413"
2019,73,Russia,"5,546","5,624","5,468","1,127","1,379","0,680","0,399","0,099","0,046","1,816"
2019,27,Saudi Arabia,"6,406","6,517","6,296","1,334","1,310","0,760","0,548","0,087","0,163","2,203"
2019,101,Senegal,"4,981","5,084","4,877","0,504","0,955","0,518","0,352","0,164","0,082","2,405"
2019,64,Serbia,"5,778","5,878","5,679","0,988","1,327","0,828","0,395","0,150","0,059","2,029"
2019,139,Sierra Leone,"3,926","4,046","3,807","0,241","0,748","0,204","0,382","0,258","0,048","2,046"
2019,31,Singapore,"6,377","6,442","6,312","1,520","1,395","1,138","0,635","0,219","0,533","0,937"
2019,37,Slovakia,"6,281","6,357","6,204","1,195","1,424","0,853","0,424","0,117","0,011","2,256"
2019,33,Slovenia,"6,363","6,449","6,277","1,209","1,465","0,933","0,647","0,146","0,077","1,889"
2019,109,South Africa,"4,814","4,932","4,696","0,902","1,259","0,407","0,435","0,126","0,060","1,625"
2019,28,Spain,"6,401","6,484","6,318","1,231","1,421","1,051","0,426","0,165","0,110","1,997"
2019,130,Sri Lanka,"4,327","4,431","4,223","0,898","1,195","0,792","0,529","0,253","0,049","0,611"
2019,125,Palestine,"4,553","4,662","4,443","0,588","1,195","0,614","0,299","0,092","0,072","1,694"
2019,7,Sweden,"7,353","7,425","7,282","1,322","1,433","0,986","0,650","0,273","0,442","2,246"
2019,3,Switzerland,"7,560","7,629","7,491","1,391","1,472","1,041","0,629","0,269","0,408","2,350"
2019,71,Tajikistan,"5,556","5,619","5,492","0,475","1,218","0,681","0,521","0,182","0,222","2,257"
2019,148,Tanzania,"3,476","3,600","3,352","0,457","0,873","0,443","0,509","0,272","0,204","0,719"
2019,54,Thailand,"5,999","6,082","5,915","1,007","1,348","0,794","0,609","0,377","0,032","1,832"
2019,135,Togo,"4,187","4,310","4,065","0,268","0,548","0,343","0,304","0,201","0,115","2,410"
2019,128,Tunisia,"4,392","4,490","4,295","0,875","0,872","0,781","0,236","0,056","0,044","1,528"
2019,93,Turkey,"5,132","5,210","5,054","1,127","1,197","0,781","0,254","0,086","0,121","1,565"
2019,126,Uganda,"4,432","4,566","4,298","0,312","1,052","0,378","0,402","0,265","0,064","1,959"
2019,123,Ukraine,"4,561","4,658","4,463","0,780","1,321","0,699","0,319","0,179","0,010","1,253"
2019,21,United Arab Emirates,"6,791","6,871","6,711","1,431","1,251","0,788","0,653","0,281","0,220","2,167"
2019,13,United Kingdom,"7,165","7,237","7,092","1,273","1,458","0,976","0,525","0,373","0,323","2,237"
2019,18,United States of America,"6,940","7,032","6,847","1,374","1,405","0,832","0,535","0,298","0,152","2,344"
2019,26,Uruguay,"6,440","6,529","6,351","1,071","1,425","0,857","0,594","0,132","0,193","2,167"
2019,38,Uzbekistan,"6,258","6,364","6,151","0,697","1,434","0,717","0,693","0,363","0,280","2,073"
2019,99,Venezuela,"5,053","5,179","4,927","0,770","1,349","0,767","0,272","0,087","0,064","1,745"
2019,83,Vietnam,"5,353","5,420","5,287","0,718","1,253","0,819","0,651","0,136","0,090","1,686"
2019,141,Zambia,"3,759","3,878","3,640","0,537","0,896","0,364","0,491","0,251","0,087","1,134"
2019,151,Zimbabwe,"3,299","3,414","3,184","0,426","1,048","0,375","0,377","0,151","0,081","0,841"
